Id,drugName,condition,rating,date,usefulCount
94456,Abilify,Major Depressive Disorde,2,2017/9/11,3
94886,Abilify,Depression,8,2012/5/4,55
94934,Abilify,Depression,7,2013/4/25,78
94704,Abilify,Depression,7,2015/5/16,59
95085,Abilify,Depression,8,2009/4/19,51
94676,Abilify,Bipolar Disorde,8,2015/8/20,15
95000,Abilify,Depression,9,2011/3/10,26
95005,Abilify,Depression,9,2011/1/22,38
94958,Abilify,Depression,7,2009/11/23,91
95011,Abilify,Schizophrenia,7,2011/1/9,28
95061,Abilify,Depression,10,2008/5/21,310
94814,Abilify,Depression,10,2012/4/28,46
94600,Abilify,Depression,9,2015/11/8,80
94460,Abilify,Schizophrenia,9,2017/8/30,6
94898,Abilify,Post Traumatic Stress Disorde,7,2010/8/27,18
94504,Abilify,Bipolar Disorde,8,2017/5/15,9
94645,Abilify,Schizophrenia,8,2016/3/25,21
94846,Abilify,Depression,3,2013/2/4,57
95001,Abilify,Bipolar Disorde,5,2011/2/13,15
94989,Abilify,Depression,2,2011/6/17,27
94916,Abilify,Depression,8,2013/7/8,93
94818,Abilify,Schizophrenia,1,2012/3/26,28
94678,Abilify,Major Depressive Disorde,10,2015/8/10,10
95027,Abilify,Bipolar Disorde,1,2009/10/1,37
94966,Abilify,Depression,8,2011/11/28,24
94709,Abilify,Major Depressive Disorde,3,2015/4/13,15
94874,Abilify,Tourette's Syndrome,10,2012/7/16,24
95037,Abilify,Depression,9,2009/8/21,58
94713,Abilify,Bipolar Disorde,1,2015/3/30,20
94446,Abilify,Depression,1,2017/11/22,0
94910,Abilify,Bipolar Disorde,9,2010/5/6,29
94665,Abilify,Major Depressive Disorde,8,2015/10/1,9
94606,Abilify,Major Depressive Disorde,3,2015/10/18,15
94937,Abilify,Depression,8,2013/4/10,105
94444,Abilify,Bipolar Disorde,9,2017/11/27,5
94743,Abilify,Bipolar Disorde,1,2014/9/15,13
94625,Abilify,Bipolar Disorde,8,2016/6/2,12
94860,Abilify,Schizophrenia,8,2012/10/1,33
94780,Abilify,Bipolar Disorde,2,2013/8/22,35
95057,Abilify,Bipolar Disorde,10,2008/7/9,114
94969,Abilify,Depression,1,2011/11/8,31
94540,Abilify,Depression,9,2016/12/5,42
94907,Abilify,Depression,10,2010/5/14,51
94823,Abilify,Bipolar Disorde,10,2012/2/22,28
94667,Abilify,Autism,2,2015/9/23,56
94755,Abilify,Major Depressive Disorde,10,2014/7/26,19
95066,Abilify,Schizophrenia,10,2008/4/9,78
94698,Abilify,Major Depressive Disorde,1,2015/6/5,9
95008,Abilify,Bipolar Disorde,10,2011/1/17,34
94556,Abilify,Depression,9,2016/10/14,59
94492,Abilify,Bipolar Disorde,5,2017/6/26,7
94548,Abilify,Bipolar Disorde,1,2016/11/15,10
94868,Abilify,Schizoaffective Disorde,1,2012/8/19,14
94761,Abilify,Major Depressive Disorde,1,2014/6/18,25
94595,Abilify,Bipolar Disorde,2,2015/12/8,13
95047,Abilify,Bipolar Disorde,8,2008/12/18,42
94978,Abilify,Tourette's Syndrome,9,2011/9/16,33
94602,Abilify,Bipolar Disorde,1,2015/10/25,4
94721,Abilify,Depression,9,2015/2/11,140
94784,Abilify,Bipolar Disorde,6,2013/8/4,30
95024,Abilify,Bipolar Disorde,1,2009/10/14,24
94783,Abilify,Depression,10,2013/8/8,162
95016,Abilify,Bipolar Disorde,1,2009/10/29,37
94597,Abilify,Major Depressive Disorde,9,2015/12/3,14
94687,Abilify,Bipolar Disorde,9,2015/7/18,21
94570,Abilify,Schizophrenia,10,2016/9/3,3
94664,Abilify,Schizophrenia,10,2015/10/2,21
94640,Abilify,Depression,8,2016/4/25,36
94526,Abilify,Schizoaffective Disorde,1,2017/2/21,4
94893,Abilify,Depression,9,2010/10/27,19
94946,Abilify,Bipolar Disorde,4,2010/1/31,14
94590,Abilify,Bipolar Disorde,1,2015/12/23,13
94811,Abilify,Depression,10,2013/12/23,81
94926,Abilify,Depression,10,2013/6/7,102
94974,Abilify,Depression,7,2011/10/21,34
95072,Abilify,Bipolar Disorde,1,2009/7/26,18
94660,Abilify,Schizoaffective Disorde,8,2016/1/16,8
94561,Abilify,Depression,10,2016/9/27,65
94853,Abilify,Depression,6,2012/11/14,55
94686,Abilify,Schizophrenia,1,2015/7/20,14
95013,Abilify,Bipolar Disorde,9,2009/11/15,24
94524,Abilify,Depression,9,2017/2/28,61
94904,Abilify,Depression,8,2010/5/25,16
95038,Abilify,Depression,9,2008/4/3,218
94453,Abilify,Bipolar Disorde,2,2017/9/30,3
94808,Abilify,Bipolar Disorde,3,2014/1/10,29
94641,Abilify,Schizoaffective Disorde,1,2016/4/17,10
94454,Abilify,Depression,6,2017/9/26,1
95046,Abilify,Depression,8,2009/1/1,107
94878,Abilify,Schizophrenia,9,2012/7/4,27
94723,Abilify,Major Depressive Disorde,6,2015/1/24,18
94841,Abilify,Depression,1,2013/2/24,62
95088,Abilify,Bipolar Disorde,2,2009/3/11,29
94879,Abilify,Depression,7,2012/7/3,56
94970,Abilify,Depression,10,2011/11/2,58
94646,Abilify,Bipolar Disorde,4,2016/3/12,8
94829,Abilify,Depression,1,2012/1/18,26
94983,Abilify,Bipolar Disorde,8,2011/8/11,17
94752,Abilify,Bipolar Disorde,1,2014/7/30,13
120232,Abilify Discmelt,Depression,9,2011/5/27,3
187573,Abilify Maintena,Schizophrenia,10,2016/1/10,22
188807,Abiraterone,Prostate Cance,10,2015/3/22,29
188803,Abiraterone,Prostate Cance,9,2016/2/12,16
188806,Abiraterone,Prostate Cance,10,2015/5/19,18
132453,AbobotulinumtoxinA,acial Wrinkles,10,2014/1/1,10
174480,Abreva,Herpes Simplex,1,2017/12/5,0
174511,Abreva,Herpes Simplex,7,2017/5/4,3
174494,Abreva,Herpes Simplex,1,2017/9/1,6
174556,Abreva,Herpes Simplex,1,2016/6/2,13
174482,Abreva,Herpes Simplex,1,2017/11/26,0
174651,Abreva,Herpes Simplex,10,2014/12/7,14
174606,Abreva,Herpes Simplex,9,2015/10/21,5
174604,Abreva,Herpes Simplex,10,2015/10/30,9
174645,Abreva,Herpes Simplex,10,2015/2/6,11
174642,Abreva,Herpes Simplex,10,2015/3/1,7
174641,Abreva,Herpes Simplex,10,2015/3/25,20
174485,Abreva,Herpes Simplex,1,2017/11/15,3
174622,Abreva,Herpes Simplex,8,2015/8/11,7
174590,Abreva,Herpes Simplex,10,2015/12/22,16
174520,Abreva,Herpes Simplex,1,2017/4/2,6
174647,Abreva,Herpes Simplex,10,2015/1/21,13
174484,Abreva,Herpes Simplex,1,2017/11/20,0
174631,Abreva,Herpes Simplex,10,2015/6/18,12
174517,Abreva,Herpes Simplex,2,2017/4/17,7
174628,Abreva,Herpes Simplex,8,2015/7/9,3
174566,Abreva,Herpes Simplex,9,2016/4/22,6
174695,Abreva,Herpes Simplex,3,2016/11/7,11
174607,Abreva,Herpes Simplex,9,2015/10/21,4
174634,Abreva,Herpes Simplex,10,2015/6/3,9
174532,Abreva,Herpes Simplex,8,2016/10/3,11
174577,Abreva,Herpes Simplex,10,2016/2/5,8
174616,Abreva,Herpes Simplex,1,2015/9/7,2
174496,Abreva,Herpes Simplex,1,2017/8/16,9
174678,Abreva,Herpes Simplex,10,2017/1/19,1
174646,Abreva,Herpes Simplex,10,2015/1/22,10
174540,Abreva,Herpes Simplex,8,2016/9/8,5
174562,Abreva,Herpes Simplex,9,2016/5/4,9
174602,Abreva,Herpes Simplex,10,2015/11/5,13
174487,Abreva,Herpes Simplex,1,2017/11/10,1
174594,Abreva,Herpes Simplex,8,2015/12/8,8
174588,Abreva,Herpes Simplex,1,2015/12/31,17
174601,Abreva,Herpes Simplex,8,2015/11/18,2
174620,Abreva,Herpes Simplex,5,2015/8/13,4
174563,Abreva,Herpes Simplex,10,2016/5/1,26
174550,Abreva,Herpes Simplex,3,2016/8/9,6
174617,Abreva,Herpes Simplex,9,2015/9/1,4
174553,Abreva,Herpes Simplex,9,2016/6/26,19
174521,Abreva,Herpes Simplex,8,2017/3/24,5
174535,Abreva,Herpes Simplex,10,2016/9/21,15
174583,Abreva,Herpes Simplex,1,2016/1/10,10
174625,Abreva,Herpes Simplex,10,2015/7/21,4
174541,Abreva,Herpes Simplex,1,2016/9/7,6
179069,Absorica,Acne,4,2013/7/29,6
179067,Absorica,Acne,9,2016/4/12,7
171323,Abstral,Breakthrough Pain,4,2016/10/2,9
136044,Acamprosate,Alcohol Dependence,10,2010/10/25,62
136014,Acamprosate,Alcohol Dependence,10,2017/5/4,58
136113,Acamprosate,Alcohol Dependence,10,2014/9/18,103
135991,Acamprosate,Alcohol Dependence,10,2016/5/21,86
136031,Acamprosate,Alcohol Dependence,8,2011/12/5,56
136000,Acamprosate,Alcohol Dependence,9,2017/10/28,11
136123,Acamprosate,Alcohol Dependence,8,2013/10/28,80
136162,Acamprosate,Alcohol Dependence,9,2009/3/28,105
136147,Acamprosate,Alcohol Dependence,10,2010/5/30,29
136157,Acamprosate,Alcohol Dependence,9,2009/9/25,36
135970,Acamprosate,Alcohol Dependence,10,2015/2/2,56
136165,Acamprosate,Alcohol Dependence,9,2008/12/17,29
135959,Acamprosate,Alcohol Dependence,9,2015/6/17,109
135980,Acamprosate,Alcohol Dependence,9,2016/10/28,57
135962,Acamprosate,Alcohol Dependence,10,2015/5/31,125
136142,Acamprosate,Alcohol Dependence,10,2010/8/22,41
135978,Acamprosate,Alcohol Dependence,10,2016/11/7,20
136120,Acamprosate,Alcohol Dependence,10,2013/11/27,106
135983,Acamprosate,Alcohol Dependence,10,2016/9/16,82
135984,Acamprosate,Alcohol Dependence,9,2016/7/30,80
135950,Acamprosate,Alcohol Dependence,10,2015/11/3,107
135964,Acamprosate,Alcohol Dependence,8,2015/4/15,12
136016,Acamprosate,Alcohol Dependence,5,2017/4/9,12
135986,Acamprosate,Alcohol Dependence,10,2016/7/21,68
136149,Acamprosate,Alcohol Dependence,5,2010/1/16,78
135976,Acamprosate,Alcohol Dependence,1,2016/11/27,11
135979,Acamprosate,Alcohol Dependence,8,2016/11/4,21
135965,Acamprosate,Alcohol Dependence,10,2015/4/9,80
136166,Acamprosate,Alcohol Dependence,10,2008/9/30,80
135955,Acamprosate,Alcohol Dependence,10,2015/7/29,142
135993,Acamprosate,Alcohol Dependence,10,2016/5/18,17
136137,Acamprosate,Alcohol Dependence,5,2008/2/29,57
135949,Acamprosate,Alcohol Dependence,9,2015/11/25,26
136117,Acamprosate,Alcohol Dependence,8,2014/3/8,63
12171,Acanya,Acne,10,2016/7/6,9
12185,Acanya,Acne,10,2015/3/1,5
12210,Acanya,Acne,9,2011/9/11,12
12205,Acanya,Acne,8,2012/4/27,38
12204,Acanya,Acne,9,2012/5/21,9
12261,Acanya,Acne,4,2009/9/20,15
12193,Acanya,Acne,10,2013/8/5,19
12219,Acanya,Acne,2,2009/12/8,22
12178,Acanya,Acne,1,2015/9/30,4
12187,Acanya,Acne,7,2015/1/2,31
4236,Acarbose,"Diabetes, Type 2",8,2016/8/18,2
213100,Accolate,"Asthma, Maintenance",10,2009/10/20,19
157670,Accutane,Acne,10,2016/5/11,28
157962,Accutane,Acne,9,2009/11/18,18
157805,Accutane,Acne,9,2015/4/20,20
157766,Accutane,Acne,10,2012/10/19,18
157530,Accutane,Acne,9,2017/3/18,10
157782,Accutane,Acne,10,2014/10/18,29
157603,Accutane,Acne,4,2017/8/25,6
157839,Accutane,Acne,10,2013/6/20,29
157814,Accutane,Acne,10,2015/1/31,55
157828,Accutane,Acne,9,2013/8/11,35
157745,Accutane,Acne,10,2015/7/13,22
158006,Accutane,Acne,8,2008/12/3,23
157599,Accutane,Acne,1,2017/9/11,6
157940,Accutane,Acne,8,2011/12/14,5
157697,Accutane,Acne,10,2016/4/28,8
157598,Accutane,Acne,8,2017/9/30,3
157974,Accutane,Acne,1,2009/8/18,11
157779,Accutane,Acne,8,2014/11/2,17
157665,Accutane,Acne,10,2016/6/30,31
157651,Accutane,Acne,9,2016/8/29,35
157769,Accutane,Acne,7,2012/9/14,4
157810,Accutane,Acne,10,2015/3/8,12
157989,Accutane,Acne,9,2009/5/12,20
157731,Accutane,Acne,10,2015/9/16,15
158017,Accutane,Acne,6,2008/5/31,28
157777,Accutane,Acne,7,2014/11/10,8
157674,Accutane,Acne,1,2016/1/18,12
157887,Accutane,Acne,9,2011/7/1,6
157862,Accutane,Acne,10,2013/12/21,26
157925,Accutane,Acne,10,2012/7/16,9
157663,Accutane,Acne,10,2016/7/19,21
157771,Accutane,Acne,9,2012/9/1,9
157860,Accutane,Acne,10,2013/12/26,61
157772,Accutane,Acne,9,2014/12/10,35
157991,Accutane,Acne,10,2009/5/4,22
157686,Accutane,Acne,9,2015/11/4,22
157517,Accutane,Acne,10,2017/5/5,26
157929,Accutane,Acne,5,2012/4/25,14
157851,Accutane,Acne,9,2014/3/22,34
157837,Accutane,Acne,10,2013/7/13,18
157628,Accutane,Acne,9,2016/12/29,13
157792,Accutane,Acne,10,2014/6/21,76
157605,Accutane,Acne,1,2017/8/16,13
157990,Accutane,Acne,9,2009/5/6,12
157746,Accutane,Acne,10,2015/7/12,12
157859,Accutane,Acne,10,2013/12/29,78
157831,Accutane,Acne,6,2013/7/30,26
157726,Accutane,Acne,10,2015/9/27,15
157634,Accutane,Acne,10,2016/11/28,13
157672,Accutane,Acne,10,2016/1/24,46
157715,Accutane,Acne,8,2016/2/26,6
157738,Accutane,Acne,7,2015/8/15,14
157639,Accutane,Acne,10,2016/11/14,29
157952,Accutane,Acne,9,2010/2/21,10
157692,Accutane,Acne,10,2015/10/14,29
157953,Accutane,Acne,9,2010/2/2,13
157864,Accutane,Acne,10,2013/12/17,63
157776,Accutane,Acne,10,2014/11/19,19
157854,Accutane,Acne,10,2014/2/28,69
157704,Accutane,Acne,10,2016/4/3,27
157632,Accutane,Acne,8,2016/12/2,23
157536,Accutane,Acne,10,2017/2/7,28
158026,Accutane,Acne,4,2008/3/17,66
158004,Accutane,Acne,7,2008/12/30,105
157525,Accutane,Acne,9,2017/4/10,9
157744,Accutane,Acne,9,2015/7/15,41
157954,Accutane,Acne,9,2010/2/1,14
158024,Accutane,Acne,10,2008/3/22,73
157747,Accutane,Acne,9,2013/5/10,8
157906,Accutane,Acne,2,2010/12/18,13
157986,Accutane,Acne,9,2009/6/2,50
157996,Accutane,Acne,9,2009/3/26,29
157965,Accutane,Acne,9,2009/11/3,8
157725,Accutane,Acne,7,2015/9/30,12
157846,Accutane,Acne,9,2013/5/10,9
157916,Accutane,Acne,10,2010/6/24,19
157711,Accutane,Acne,1,2016/3/8,18
157945,Accutane,Acne,8,2011/11/22,10
157702,Accutane,Acne,3,2016/4/8,10
158011,Accutane,Acne,8,2008/8/5,33
157999,Accutane,Acne,9,2009/3/3,24
157984,Accutane,Acne,6,2009/6/17,8
157730,Accutane,Acne,9,2015/9/19,6
157788,Accutane,Acne,10,2014/8/8,45
157664,Accutane,Acne,10,2016/7/19,23
157812,Accutane,Acne,10,2015/2/15,12
157976,Accutane,Acne,9,2009/8/12,17
157538,Accutane,Acne,9,2017/2/3,10
157973,Accutane,Acne,10,2009/8/24,12
157946,Accutane,Acne,10,2011/11/20,4
158023,Accutane,Acne,10,2008/3/29,131
157956,Accutane,Acne,9,2010/1/17,10
157532,Accutane,Acne,10,2017/2/28,23
158005,Accutane,Acne,9,2008/12/22,13
157844,Accutane,Acne,10,2013/5/14,17
157713,Accutane,Acne,9,2016/3/6,13
157865,Accutane,Acne,9,2013/12/17,16
157883,Accutane,Acne,10,2011/7/25,4
157889,Accutane,Acne,10,2011/6/4,3
157596,Accutane,Acne,10,2017/11/5,2
157724,Accutane,Acne,10,2015/9/30,19
157753,Accutane,Acne,9,2013/3/24,8
157875,Accutane,Acne,10,2011/9/25,8
157682,Accutane,Acne,10,2015/11/19,26
157683,Accutane,Acne,1,2015/11/10,13
157840,Accutane,Acne,9,2013/6/12,17
157981,Accutane,Acne,7,2009/7/7,16
157917,Accutane,Acute Nonlymphocytic Leukemia,10,2010/6/6,11
157978,Accutane,Acne,7,2009/7/15,8
157719,Accutane,Acne,1,2016/2/15,10
157882,Accutane,Acne,10,2011/7/29,11
126561,Acetaminophen,Sciatica,1,2011/8/5,42
126557,Acetaminophen,Pain,1,2013/10/25,18
126578,Acetaminophen,Pain,9,2009/4/14,2
126564,Acetaminophen,Pain,9,2011/1/26,32
126579,Acetaminophen,Muscle Pain,7,2009/3/27,11
126571,Acetaminophen,eve,8,2009/10/26,1
126560,Acetaminophen,Pain,5,2011/9/22,33
126566,Acetaminophen,Pain,9,2010/6/18,11
126547,Acetaminophen,Pain,6,2017/1/9,1
53892,Acetaminophen / aspirin,Pain,9,2010/8/29,6
120572,Acetaminophen / aspirin / caffeine,Migraine,5,2009/11/9,5
205230,Acetaminophen / aspirin / caffeine,Migraine,9,2016/8/3,8
205253,Acetaminophen / aspirin / caffeine,Migraine,10,2015/10/15,11
120576,Acetaminophen / aspirin / caffeine,Migraine,3,2009/9/24,3
205129,Acetaminophen / aspirin / caffeine,Migraine,10,2013/10/9,18
205147,Acetaminophen / aspirin / caffeine,Migraine,10,2010/10/13,17
205234,Acetaminophen / aspirin / caffeine,Migraine,1,2016/6/7,1
205306,Acetaminophen / aspirin / caffeine,Migraine,8,2014/5/4,24
205217,Acetaminophen / aspirin / caffeine,Migraine,9,2017/1/21,4
205304,Acetaminophen / aspirin / caffeine,Migraine,4,2014/6/2,20
205287,Acetaminophen / aspirin / caffeine,Migraine,10,2015/9/10,6
205237,Acetaminophen / aspirin / caffeine,Migraine,10,2016/5/12,7
205232,Acetaminophen / aspirin / caffeine,Migraine,1,2016/6/23,12
120575,Acetaminophen / aspirin / caffeine,Migraine,2,2009/10/20,8
205286,Acetaminophen / aspirin / caffeine,Migraine,10,2015/9/11,8
205130,Acetaminophen / aspirin / caffeine,Migraine,10,2013/8/27,12
205252,Acetaminophen / aspirin / caffeine,Migraine,10,2015/10/23,9
205229,Acetaminophen / aspirin / caffeine,Migraine,10,2016/8/9,10
205145,Acetaminophen / aspirin / caffeine,Migraine,10,2011/7/6,12
205243,Acetaminophen / aspirin / caffeine,Migraine,9,2016/3/24,0
205210,Acetaminophen / aspirin / caffeine,Migraine,1,2017/6/15,1
205305,Acetaminophen / aspirin / caffeine,Migraine,10,2014/5/18,9
120568,Acetaminophen / aspirin / caffeine,Migraine,10,2010/3/1,16
205151,Acetaminophen / aspirin / caffeine,Osteoarthritis,6,2010/7/20,8
205219,Acetaminophen / aspirin / caffeine,Pain/Feve,10,2016/12/7,3
205293,Acetaminophen / aspirin / caffeine,Migraine,5,2015/6/30,9
4195,Acetaminophen / aspirin / caffeine / salicylamide,Pain,9,2015/5/21,1
4196,Acetaminophen / aspirin / caffeine / salicylamide,Migraine,10,2011/11/4,8
91724,Acetaminophen / butalbital,Headache,9,2008/8/28,39
91721,Acetaminophen / butalbital,Headache,10,2010/6/17,6
91718,Acetaminophen / butalbital,Headache,10,2013/4/25,5
91717,Acetaminophen / butalbital,Headache,10,2013/6/19,4
113665,Acetaminophen / butalbital / caffeine,Headache,10,2009/1/12,30
113740,Acetaminophen / butalbital / caffeine,Headache,10,2014/3/28,8
113554,Acetaminophen / butalbital / caffeine,Headache,1,2017/4/25,13
113726,Acetaminophen / butalbital / caffeine,Headache,10,2015/3/2,41
113545,Acetaminophen / butalbital / caffeine,Headache,10,2017/9/9,9
113669,Acetaminophen / butalbital / caffeine,Headache,10,2008/11/18,18
113734,Acetaminophen / butalbital / caffeine,Headache,10,2014/9/6,61
113758,Acetaminophen / butalbital / caffeine,Headache,10,2013/1/25,10
113574,Acetaminophen / butalbital / caffeine,Headache,9,2011/12/5,16
113768,Acetaminophen / butalbital / caffeine,Headache,9,2012/5/20,11
113591,Acetaminophen / butalbital / caffeine,Headache,10,2010/11/19,22
113648,Acetaminophen / butalbital / caffeine,Headache,6,2008/3/24,6
113596,Acetaminophen / butalbital / caffeine,Headache,10,2016/5/13,50
113675,Acetaminophen / butalbital / caffeine,Headache,10,2008/8/22,3
113756,Acetaminophen / butalbital / caffeine,Headache,10,2013/2/25,52
113589,Acetaminophen / butalbital / caffeine,Headache,10,2010/12/11,11
113681,Acetaminophen / butalbital / caffeine,Headache,10,2008/5/29,45
113592,Acetaminophen / butalbital / caffeine,Headache,6,2016/8/31,4
113590,Acetaminophen / butalbital / caffeine,Headache,9,2010/11/29,12
113631,Acetaminophen / butalbital / caffeine,Headache,1,2009/11/20,9
113572,Acetaminophen / butalbital / caffeine,Headache,9,2012/1/26,10
113588,Acetaminophen / butalbital / caffeine,Headache,10,2011/1/3,8
113553,Acetaminophen / butalbital / caffeine,Headache,9,2017/4/26,3
113647,Acetaminophen / butalbital / caffeine,Headache,9,2008/3/28,26
113547,Acetaminophen / butalbital / caffeine,Headache,8,2017/8/3,8
113560,Acetaminophen / butalbital / caffeine,Headache,6,2016/12/31,10
113573,Acetaminophen / butalbital / caffeine,Headache,10,2012/1/23,22
113600,Acetaminophen / butalbital / caffeine,Headache,7,2016/3/16,18
113761,Acetaminophen / butalbital / caffeine,Headache,10,2012/12/31,66
113666,Acetaminophen / butalbital / caffeine,Headache,10,2008/12/17,8
113762,Acetaminophen / butalbital / caffeine,Headache,10,2012/12/6,38
113606,Acetaminophen / butalbital / caffeine,Headache,1,2015/12/29,2
113658,Acetaminophen / butalbital / caffeine,Headache,6,2009/5/20,2
113549,Acetaminophen / butalbital / caffeine,Headache,10,2017/6/10,13
113759,Acetaminophen / butalbital / caffeine,Headache,10,2013/1/24,38
113614,Acetaminophen / butalbital / caffeine,Headache,7,2015/8/10,29
113561,Acetaminophen / butalbital / caffeine,Headache,7,2016/12/22,24
113602,Acetaminophen / butalbital / caffeine,Headache,1,2016/1/28,7
113750,Acetaminophen / butalbital / caffeine,Headache,9,2013/6/18,80
113745,Acetaminophen / butalbital / caffeine,Headache,10,2013/9/30,104
113660,Acetaminophen / butalbital / caffeine,Headache,10,2009/5/3,0
113552,Acetaminophen / butalbital / caffeine,Headache,9,2017/5/11,4
113739,Acetaminophen / butalbital / caffeine,Headache,10,2014/4/8,11
113586,Acetaminophen / butalbital / caffeine,Headache,9,2011/1/26,7
113639,Acetaminophen / butalbital / caffeine,Headache,10,2009/7/7,31
113577,Acetaminophen / butalbital / caffeine,Headache,10,2011/9/6,27
113643,Acetaminophen / butalbital / caffeine,Headache,10,2008/4/22,15
113557,Acetaminophen / butalbital / caffeine,Headache,6,2017/3/21,4
113568,Acetaminophen / butalbital / caffeine,Headache,10,2012/3/16,29
110944,Acetaminophen / butalbital / caffeine / codeine,Headache,8,2012/2/3,39
110937,Acetaminophen / butalbital / caffeine / codeine,Headache,10,2015/4/16,15
110941,Acetaminophen / butalbital / caffeine / codeine,Headache,10,2013/9/29,53
110936,Acetaminophen / butalbital / caffeine / codeine,Headache,10,2015/8/27,15
110950,Acetaminophen / butalbital / caffeine / codeine,Headache,10,2009/11/21,40
182047,Acetaminophen / caffeine,Headache,10,2016/5/19,1
